name,geometry,tourism,Latitude,Longitude,Lat,Lon
,POINT (459477.4690621143 5664106.8218137985),viewpoint,51.1473836,-115.5795675,5664106.8218137985,459477.4690621143
Cave & Basin National Historic Site,POINT (458705.2471713334 5666541.680575152),attraction,51.1692307,-115.590891,5666541.680575152,458705.2471713334
Canada Place Banff,POINT (460075.6980044512 5666785.585702494),attraction,51.171522,-115.5713091,5666785.585702494,460075.6980044512
HI Banff Alpine Centre,POINT (461712.22666433046 5668299.241976835),hostel,51.1852498,-115.548053,5668299.241976835,461712.22666433046
Cory Pass,POINT (452706.4270016643 5670471.251483554),viewpoint,51.2041128,-115.6772404,5670471.251483554,452706.4270016643
Aylmer Lookout,POINT (470507.125800079 5679730.316767669),viewpoint,51.2886,-115.42311,5679730.316767669,470507.125800079
,POINT (452660.02233017224 5664936.658270676),information,51.1543243,-115.677175,5664936.658270676,452660.02233017224
Cascade Amphitheatre,POINT (459204.5481953836 5673279.720253786),attraction,51.2298772,-115.5845135,5673279.720253786,459204.5481953836
Six glaciers viewpoint,POINT (410618.0002588618 5691306.797048782),viewpoint,51.3864555,-116.2850396,5691306.797048782,410618.0002588618
Surprise Corner,POINT (460874.68793226004 5666345.979154072),viewpoint,51.1676228,-115.5598284,5666345.979154072,460874.68793226004
,POINT (417864.53452794696 5684603.564517687),viewpoint,51.3272655,-116.1793318,5684603.564517687,417864.53452794696
Moraine lake,POINT (417771.03466259135 5684671.070574988),viewpoint,51.3278591,-116.1806896,5684671.070574988,417771.03466259135
Moraine lake,POINT (417819.3058220825 5684644.431174982),viewpoint,51.3276265,-116.1799905,5684644.431174982,417819.3058220825
,POINT (413361.003937584 5694176.6088599),viewpoint,51.4126907,-116.2463147,5694176.6088599,413361.003937584
Stewart Canyon,POINT (465513.9010407811 5676545.271527174),viewpoint,51.2596687,-115.4944328,5676545.271527174,465513.9010407811
Fox Hotel and Suites,POINT (460663.0376641131 5668093.845083664),hotel,51.1833309,-115.5630479,5668093.845083664,460663.0376641131
Hidden Ridge Resort,POINT (461847.6912475656 5668618.553346688),hotel,51.1881312,-115.546148,5668618.553346688,461847.6912475656
Vermilion Lake,POINT (457853.5905589263 5667997.651320383),viewpoint,51.1822654,-115.6032476,5667997.651320383,457853.5905589263
Brewster's Mountain Lodge,POINT (460022.8685924855 5667369.912665098),hotel,51.1767745,-115.57213,5667369.912665098,460022.8685924855
Muleshoe,POINT (449739.8724082688 5667730.7409110125),attraction,51.1792082,-115.7193335,5667730.7409110125,449739.8724082688
LM8,POINT (470331.3991364476 5678366.562388499),camp_site,51.2763234,-115.4255175,5678366.562388499,470331.3991364476
LM9,POINT (471476.5801213298 5678699.794841961),camp_site,51.2793795,-115.4091201,5678699.794841961,471476.5801213298
LM11,POINT (472998.9142106004 5678420.048153882),camp_site,51.2769373,-115.3872643,5678420.048153882,472998.9142106004
LM20,POINT (478973.3445197101 5674883.568144186),camp_site,51.2453769,-115.3013696,5674883.568144186,478973.3445197101
LM22,POINT (480411.4581333024 5675711.478076497),camp_site,51.2528756,-115.2808032,5675711.478076497,480411.4581333024
Fairview Lookout,POINT (415057.2547218264 5693858.051890774),viewpoint,51.4100827,-116.2218436,5693858.051890774,415057.2547218264
