Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-115.43921299999998,50.78202199999999,aggressive,POINT (469048.86971397215 5623426.141370579),5623426.141370579,469048.86971397215,-1,-1
-115.440742,51.076443,aggressive,POINT (469136.5760658454 5656153.81142983),5656153.81142983,469136.5760658454,-1,-1
-115.475203,50.870046,neutral_passive,POINT (466575.5940783251 5633226.144719226),5633226.144719226,466575.5940783251,-1,-1
-115.473446,50.87379,neutral_passive,POINT (466701.84353773895 5633641.519367003),5633641.519367003,466701.84353773895,-1,-1
-115.458366,51.078772,aggressive,POINT (467904.0536366191 5656420.236693701),5656420.236693701,467904.0536366191,-1,-1
-115.46776899999998,51.091,neutral_passive,POINT (467254.2695054248 5657783.642875922),5657783.642875922,467254.2695054248,-1,-1
-115.457364,51.156972,neutral_passive,POINT (468028.2330276271 5665112.573903183),5665112.573903183,468028.2330276271,0,0
-115.461252,51.15841699999999,curious_risk,POINT (467757.45306692633 5665274.899317564),5665274.899317564,467757.45306692633,0,0
-115.49167799999996,51.159162,aggressive,POINT (465631.1718699882 5665371.49063451),5665371.49063451,465631.1718699882,0,0
-115.458682,51.159363,neutral_passive,POINT (467937.7567219697 5665378.934822412),5665378.934822412,467937.7567219697,0,0
-115.464078,51.16047799999999,neutral_passive,POINT (467561.35566067696 5665505.245751361),5665505.245751361,467561.35566067696,0,0
-115.476936,51.16122,neutral_passive,POINT (466663.13191214646 5665593.476462661),5665593.476462661,466663.13191214646,0,0
-115.504843,50.898852,curious_risk,POINT (464512.7031119646 5636441.941416739),5636441.941416739,464512.7031119646,-1,-1
-115.503123,51.022401,neutral_passive,POINT (464727.27800484985 5650174.5318393),5650174.5318393,464727.27800484985,-1,-1
-115.50698399999996,51.086444,neutral_passive,POINT (464505.5875634706 5657295.368930288),5657295.368930288,464505.5875634706,-1,-1
-115.503184,51.104098,neutral_passive,POINT (464785.03961068083 5659255.966227404),5659255.966227404,464785.03961068083,-1,-1
-115.50729800000002,51.108419,neutral_passive,POINT (464500.43602792715 5659738.266300608),5659738.266300608,464500.43602792715,-1,-1
-115.50347600000002,51.15657999999999,neutral_passive,POINT (464804.5187896168 5665090.050409141),5665090.050409141,464804.5187896168,0,0
-115.50045,51.15865,neutral_passive,POINT (465017.6155786876 5665318.711060271),5665318.711060271,465017.6155786876,0,0
-115.504185,51.163296,neutral_passive,POINT (464760.0735388336 5665836.9499823535),5665836.9499823535,464760.0735388336,0,0
-115.50917,51.164172,curious_risk,POINT (464412.32381982054 5665936.727540372),5665936.727540372,464412.32381982054,0,0
-115.507955,51.164211,neutral_passive,POINT (464497.27389484824 5665940.475685629),5665940.475685629,464497.27389484824,0,0
-115.41698599999997,51.13387800000001,neutral_passive,POINT (470836.27311354683 5662528.637102806),5662528.637102806,470836.27311354683,-1,-1
-115.426469,51.133958,neutral_passive,POINT (470173.09242419864 5662541.331061707),5662541.331061707,470173.09242419864,-1,-1
-115.398984,51.13412999999999,neutral_passive,POINT (472095.4686519179 5662549.669153578),5662549.669153578,472095.4686519179,-1,-1
-115.43648299999998,51.134628000000006,neutral_passive,POINT (469473.16572556994 5662619.9157299),5662619.9157299,469473.16572556994,-1,-1
-115.417761,51.135335000000005,neutral_passive,POINT (470782.98982767947 5662690.906446936),5662690.906446936,470782.98982767947,-1,-1
-115.424185,51.137075,neutral_passive,POINT (470334.8303664171 5662886.897294291),5662886.897294291,470334.8303664171,-1,-1
-115.42166,51.13737799999999,neutral_passive,POINT (470511.60733778815 5662919.564220463),5662919.564220463,470511.60733778815,-1,-1
-115.425181,51.13772999999999,neutral_passive,POINT (470265.59659037215 5662960.109932669),5662960.109932669,470265.59659037215,-1,-1
-115.404647,51.137744,neutral_passive,POINT (471701.6148416798 5662953.568776913),5662953.568776913,471701.6148416798,-1,-1
-115.425622,51.138135000000005,neutral_passive,POINT (470235.0164430676 5663005.308546366),5663005.308546366,470235.0164430676,-1,-1
-115.41402100000002,51.138439,neutral_passive,POINT (471046.4952068681 5663034.472728841),5663034.472728841,471046.4952068681,-1,-1
-115.407647,51.13875199999999,neutral_passive,POINT (471492.4358291813 5663066.777422023),5663066.777422023,471492.4358291813,-1,-1
-115.416878,51.13889699999999,neutral_passive,POINT (470846.9873737172 5663086.512690236),5663086.512690236,470846.9873737172,-1,-1
-115.429833,51.13889999999999,neutral_passive,POINT (469941.0269017459 5663092.058766003),5663092.058766003,469941.0269017459,-1,-1
-115.401499,51.13969900000001,neutral_passive,POINT (471922.9505943203 5663169.683263506),5663169.683263506,471922.9505943203,-1,-1
-115.400787,51.139704,neutral_passive,POINT (471972.7440075837 5663169.9676220715),5663169.9676220715,471972.7440075837,-1,-1
-115.404139,51.14005300000001,neutral_passive,POINT (471738.5507033271 5663210.045086768),5663210.045086768,471738.5507033271,-1,-1
-115.41917099999998,51.140301,neutral_passive,POINT (470687.5235576648 5663243.494177781),5663243.494177781,470687.5235576648,-1,-1
-115.43859299999998,51.140466,neutral_passive,POINT (469329.46494438034 5663269.752382784),5663269.752382784,469329.46494438034,-1,-1
-115.409283,51.140523,neutral_passive,POINT (471379.12257283763 5663264.279280668),5663264.279280668,471379.12257283763,-1,-1
-115.417123,51.140769,neutral_passive,POINT (470831.0338453452 5663294.703796717),5663294.703796717,470831.0338453452,-1,-1
-115.41768100000002,51.14093799999999,neutral_passive,POINT (470792.1202908991 5663313.711421446),5663313.711421446,470792.1202908991,-1,-1
-115.41187700000002,51.14117,neutral_passive,POINT (471198.12920591084 5663337.212899081),5663337.212899081,471198.12920591084,-1,-1
-115.418935,51.14121099999999,neutral_passive,POINT (470704.602848744 5663344.557006894),5663344.557006894,470704.602848744,-1,-1
-115.408502,51.14143899999999,neutral_passive,POINT (471434.30248685746 5663365.799596501),5663365.799596501,471434.30248685746,-1,-1
-115.422535,51.141927,neutral_passive,POINT (470453.3191329622 5663425.588040087),5663425.588040087,470453.3191329622,-1,-1
